Time,CORE_BOTTOM::Des Heat Load [W],CORE_BOTTOM:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_BOTTOM::Des Heat Mass Flow [kg/s],CORE_BOTTOM:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_MID:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_MID:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_TOP:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_TOP:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3::Des Heat Load [W],PERIMETER_BOT_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3::Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2::Des Heat Load [W],PERIMETER_BOT_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2::Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1::Des Heat Load [W],PERIMETER_BOT_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1::Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4::Des Heat Load [W],PERIMETER_BOT_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4::Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,0.000000E+00,1.779523E+04,0.000000E+00,1.254484E+00,4.150220E+02,5.824381E+03,1.668029E-02,4.105953E-01,4.473883E+03,5.039161E+03,1.798115E-01,3.552441E-01,2.511397E+03,0.000000E+00,1.009349E-01,0.000000E+00,1.663735E+03,6.929654E+02,6.686666E-02,4.885201E-02,2.538832E+03,1.190687E+03,1.020375E-01,8.394228E-02,1.660553E+03,8.426561E+02,6.673875E-02,5.940231E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.744950E+02,0.000000E+00,2.640299E-02,0.000000E+00,6.915722E+02,0.000000E+00,4.875702E-02,0.000000E+00,4.890334E+02,0.000000E+00,3.447332E-02,1.498437E+03,1.232443E+03,6.022346E-02,8.688532E-02,1.024278E+03,8.164379E+02,4.116659E-02,5.755529E-02,1.533903E+03,1.226352E+03,6.164885E-02,8.645614E-02,1.022987E+03,9.816830E+02,4.111471E-02,6.920674E-02 
00:30:00,0.000000E+00,1.842348E+04,0.000000E+00,1.298677E+00,4.151264E+02,6.490182E+03,1.668449E-02,4.575166E-01,4.475102E+03,5.733724E+03,1.798605E-01,4.041959E-01,2.511681E+03,0.000000E+00,1.009462E-01,0.000000E+00,1.663913E+03,7.823625E+02,6.687382E-02,5.515309E-02,2.539109E+03,1.322232E+03,1.020486E-01,9.321338E-02,1.660730E+03,9.323476E+02,6.674589E-02,6.572435E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.468856E+02,0.000000E+00,3.150589E-02,0.000000E+00,8.133162E+02,0.000000E+00,5.733889E-02,0.000000E+00,5.663531E+02,0.000000E+00,3.992355E-02,1.498486E+03,1.365573E+03,6.022542E-02,9.626797E-02,1.024310E+03,9.023103E+02,4.116786E-02,6.360881E-02,1.533951E+03,1.360141E+03,6.165078E-02,9.588522E-02,1.023019E+03,1.067075E+03,4.111597E-02,7.522455E-02 
00:45:00,0.000000E+00,1.875599E+04,0.000000E+00,1.322089E+00,4.151673E+02,6.882028E+03,1.668613E-02,4.851243E-01,4.476124E+03,6.169733E+03,1.799015E-01,4.349138E-01,2.511921E+03,0.000000E+00,1.009559E-01,0.000000E+00,1.664065E+03,8.369351E+02,6.687991E-02,5.899971E-02,2.539344E+03,1.396161E+03,1.020580E-01,9.842195E-02,1.660881E+03,9.814382E+02,6.675196E-02,6.918577E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.064445E+02,0.000000E+00,3.570406E-02,0.000000E+00,8.934615E+02,0.000000E+00,6.298746E-02,0.000000E+00,6.165968E+02,0.000000E+00,4.346470E-02,1.498519E+03,1.442158E+03,6.022674E-02,1.016636E-01,1.024331E+03,9.526275E+02,4.116872E-02,6.715457E-02,1.533983E+03,1.436407E+03,6.165207E-02,1.012582E-01,1.023040E+03,1.109701E+03,4.111683E-02,7.822659E-02 
01:00:00,0.000000E+00,1.901068E+04,0.000000E+00,1.340042E+00,4.151610E+02,7.118214E+03,1.668588E-02,5.017564E-01,4.476982E+03,6.451662E+03,1.799360E-01,4.547718E-01,2.512124E+03,0.000000E+00,1.009640E-01,0.000000E+00,1.664193E+03,8.720136E+02,6.688503E-02,6.147174E-02,2.539542E+03,1.441477E+03,1.020660E-01,1.016153E-01,1.661009E+03,1.012704E+03,6.675707E-02,7.138976E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.433143E+02,0.000000E+00,3.829992E-02,0.000000E+00,9.351682E+02,0.000000E+00,6.592208E-02,0.000000E+00,6.439166E+02,0.000000E+00,4.539051E-02,1.498539E+03,1.489102E+03,6.022753E-02,1.049715E-01,1.024344E+03,9.836315E+02,4.116924E-02,6.933957E-02,1.534002E+03,1.484960E+03,6.165283E-02,1.046795E-01,1.023053E+03,1.134331E+03,4.111735E-02,7.996304E-02 
01:15:00,0.000000E+00,1.922438E+04,0.000000E+00,1.355105E+00,4.151322E+02,7.299249E+03,1.668472E-02,5.145180E-01,4.477743E+03,6.667372E+03,1.799666E-01,4.699778E-01,2.512302E+03,0.000000E+00,1.009712E-01,0.000000E+00,1.664305E+03,8.990114E+02,6.688954E-02,6.337596E-02,2.539715E+03,1.476526E+03,1.020730E-01,1.040877E-01,1.661120E+03,1.034375E+03,6.676156E-02,7.291864E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.649909E+02,0.000000E+00,3.982724E-02,0.000000E+00,9.587488E+02,0.000000E+00,6.758398E-02,0.000000E+00,6.604689E+02,0.000000E+00,4.655767E-02,1.498551E+03,1.522579E+03,6.022802E-02,1.073328E-01,1.024353E+03,1.005763E+03,4.116956E-02,7.090072E-02,1.534014E+03,1.520170E+03,6.165330E-02,1.071631E-01,1.023062E+03,1.150305E+03,4.111768E-02,8.109021E-02 
01:30:00,0.000000E+00,1.940808E+04,0.000000E+00,1.368051E+00,4.150927E+02,7.457205E+03,1.668313E-02,5.256524E-01,4.478441E+03,6.853485E+03,1.799947E-01,4.830970E-01,2.512463E+03,0.000000E+00,1.009777E-01,0.000000E+00,1.664406E+03,9.203767E+02,6.689362E-02,6.488312E-02,2.539872E+03,1.504495E+03,1.020793E-01,1.060609E-01,1.661222E+03,1.050121E+03,6.676563E-02,7.402980E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.793813E+02,0.000000E+00,4.084204E-02,0.000000E+00,9.750365E+02,0.000000E+00,6.873278E-02,0.000000E+00,6.721202E+02,0.000000E+00,4.737941E-02,1.498559E+03,1.548593E+03,6.022835E-02,1.091681E-01,1.024358E+03,1.022783E+03,4.116979E-02,7.210147E-02,1.534022E+03,1.547868E+03,6.165360E-02,1.091170E-01,1.023067E+03,1.161002E+03,4.111790E-02,8.184540E-02 
01:45:00,0.000000E+00,1.956882E+04,0.000000E+00,1.379378E+00,4.150441E+02,7.599280E+03,1.668118E-02,5.356670E-01,4.479082E+03,7.018720E+03,1.800205E-01,4.947443E-01,2.512610E+03,0.000000E+00,1.009835E-01,0.000000E+00,1.664499E+03,9.374356E+02,6.689733E-02,6.608664E-02,2.540015E+03,1.527096E+03,1.020850E-01,1.076557E-01,1.661314E+03,1.061530E+03,6.676932E-02,7.483513E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.904477E+02,0.000000E+00,4.162251E-02,0.000000E+00,9.874394E+02,0.000000E+00,6.960768E-02,0.000000E+00,6.803322E+02,0.000000E+00,4.795869E-02,1.498564E+03,1.569274E+03,6.022853E-02,1.106273E-01,1.024362E+03,1.036073E+03,4.116992E-02,7.303922E-02,1.534026E+03,1.570127E+03,6.165378E-02,1.106875E-01,1.023071E+03,1.167990E+03,4.111804E-02,8.233894E-02 
02:00:00,0.000000E+00,1.971219E+04,0.000000E+00,1.389481E+00,4.149872E+02,7.729438E+03,1.667889E-02,5.448412E-01,4.479672E+03,7.167633E+03,1.800442E-01,5.052406E-01,2.512743E+03,0.000000E+00,1.009889E-01,0.000000E+00,1.664583E+03,9.512825E+02,6.690071E-02,6.706365E-02,2.540145E+03,1.545636E+03,1.020902E-01,1.089640E-01,1.661397E+03,1.069813E+03,6.677269E-02,7.541990E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.989006E+02,0.000000E+00,4.221872E-02,0.000000E+00,9.967538E+02,0.000000E+00,7.026481E-02,0.000000E+00,6.859726E+02,0.000000E+00,4.835664E-02,1.498566E+03,1.586147E+03,6.022860E-02,1.118179E-01,1.024363E+03,1.046672E+03,4.116998E-02,7.378717E-02,1.534027E+03,1.588452E+03,6.165383E-02,1.119805E-01,1.023072E+03,1.172454E+03,4.111810E-02,8.265446E-02 
02:15:00,0.000000E+00,1.985657E+04,0.000000E+00,1.399655E+00,4.155094E+02,7.864349E+03,1.669988E-02,5.543504E-01,4.480496E+03,7.317063E+03,1.800773E-01,5.157734E-01,2.512928E+03,0.000000E+00,1.009963E-01,0.000000E+00,1.664699E+03,9.645197E+02,6.690538E-02,6.799762E-02,2.540326E+03,1.563977E+03,1.020975E-01,1.102582E-01,1.661513E+03,1.077664E+03,6.677734E-02,7.597424E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.073052E+02,0.000000E+00,4.281151E-02,0.000000E+00,1.006839E+03,0.000000E+00,7.097624E-02,0.000000E+00,6.915688E+02,0.000000E+00,4.875147E-02,1.498706E+03,1.603252E+03,6.023424E-02,1.130248E-01,1.024452E+03,1.057203E+03,4.117356E-02,7.453026E-02,1.534167E+03,1.606877E+03,6.165943E-02,1.132804E-01,1.023161E+03,1.177095E+03,4.112166E-02,8.298233E-02 
02:30:00,0.000000E+00,1.999140E+04,0.000000E+00,1.409156E+00,4.160296E+02,7.992231E+03,1.672079E-02,5.633640E-01,4.481295E+03,7.455506E+03,1.801094E-01,5.255316E-01,2.513105E+03,0.000000E+00,1.010035E-01,0.000000E+00,1.664811E+03,9.757636E+02,6.690987E-02,6.879107E-02,2.540499E+03,1.579763E+03,1.021045E-01,1.113722E-01,1.661624E+03,1.083733E+03,6.678181E-02,7.640292E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.143696E+02,0.000000E+00,4.330983E-02,0.000000E+00,1.015492E+03,0.000000E+00,7.158674E-02,0.000000E+00,6.957878E+02,0.000000E+00,4.904922E-02,1.498845E+03,1.618353E+03,6.023982E-02,1.140904E-01,1.024540E+03,1.066292E+03,4.117710E-02,7.517175E-02,1.534305E+03,1.623169E+03,6.166497E-02,1.144300E-01,1.023249E+03,1.180558E+03,4.112520E-02,8.322721E-02 
02:45:00,0.000000E+00,2.011979E+04,0.000000E+00,1.418203E+00,4.165466E+02,8.114850E+03,1.674157E-02,5.720058E-01,4.482070E+03,7.585368E+03,1.801406E-01,5.346842E-01,2.513277E+03,0.000000E+00,1.010103E-01,0.000000E+00,1.664919E+03,9.857438E+02,6.691421E-02,6.949498E-02,2.540667E+03,1.593984E+03,1.021112E-01,1.123753E-01,1.661732E+03,1.088778E+03,6.678613E-02,7.675887E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.206991E+02,0.000000E+00,4.375617E-02,0.000000E+00,1.023557E+03,0.000000E+00,7.215545E-02,0.000000E+00,6.991834E+02,0.000000E+00,4.928874E-02,1.498983E+03,1.632388E+03,6.024536E-02,1.150802E-01,1.024628E+03,1.074589E+03,4.118062E-02,7.575687E-02,1.534441E+03,1.638281E+03,6.167046E-02,1.154958E-01,1.023336E+03,1.183502E+03,4.112870E-02,8.343497E-02 
03:00:00,0.000000E+00,2.024178E+04,0.000000E+00,1.426799E+00,4.170577E+02,8.232980E+03,1.676211E-02,5.803312E-01,4.482821E+03,7.708115E+03,1.801707E-01,5.433351E-01,2.513442E+03,0.000000E+00,1.010170E-01,0.000000E+00,1.665023E+03,9.947087E+02,6.691839E-02,7.012726E-02,2.540829E+03,1.606901E+03,1.021177E-01,1.132863E-01,1.661835E+03,1.093061E+03,6.679029E-02,7.706103E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.266302E+02,0.000000E+00,4.417440E-02,0.000000E+00,1.031420E+03,0.000000E+00,7.270992E-02,0.000000E+00,7.019850E+02,0.000000E+00,4.948635E-02,1.499119E+03,1.645614E+03,6.025082E-02,1.160129E-01,1.024714E+03,1.082282E+03,4.118408E-02,7.629948E-02,1.534576E+03,1.652475E+03,6.167589E-02,1.164968E-01,1.023422E+03,1.186115E+03,4.113215E-02,8.361941E-02 
03:15:00,0.000000E+00,2.035883E+04,0.000000E+00,1.435047E+00,4.175622E+02,8.347593E+03,1.678238E-02,5.884089E-01,4.483547E+03,7.825460E+03,1.801999E-01,5.516053E-01,2.513601E+03,0.000000E+00,1.010234E-01,0.000000E+00,1.665123E+03,1.002769E+03,6.692242E-02,7.069572E-02,2.540985E+03,1.618598E+03,1.021240E-01,1.141112E-01,1.661935E+03,1.096692E+03,6.679431E-02,7.731718E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.320977E+02,0.000000E+00,4.455991E-02,0.000000E+00,1.038700E+03,0.000000E+00,7.322325E-02,0.000000E+00,7.042555E+02,0.000000E+00,4.964652E-02,1.499253E+03,1.658075E+03,6.025620E-02,1.168917E-01,1.024799E+03,1.089419E+03,4.118750E-02,7.680277E-02,1.534710E+03,1.665813E+03,6.168123E-02,1.174373E-01,1.023507E+03,1.188429E+03,4.113556E-02,8.378267E-02 
03:30:00,0.000000E+00,2.047177E+04,0.000000E+00,1.443007E+00,4.180597E+02,8.459187E+03,1.680238E-02,5.962738E-01,4.484251E+03,7.938300E+03,1.802282E-01,5.595582E-01,2.513755E+03,0.000000E+00,1.010296E-01,0.000000E+00,1.665220E+03,1.010137E+03,6.692631E-02,7.121528E-02,2.541136E+03,1.629313E+03,1.021300E-01,1.148669E-01,1.662032E+03,1.099902E+03,6.679819E-02,7.754365E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.371216E+02,0.000000E+00,4.491415E-02,0.000000E+00,1.045517E+03,0.000000E+00,7.370392E-02,0.000000E+00,7.061475E+02,0.000000E+00,4.977998E-02,1.499385E+03,1.669974E+03,6.026151E-02,1.177307E-01,1.024883E+03,1.096142E+03,4.119087E-02,7.727685E-02,1.534841E+03,1.678499E+03,6.168650E-02,1.183318E-01,1.023590E+03,1.190573E+03,4.113891E-02,8.393396E-02 
03:45:00,0.000000E+00,2.058117E+04,0.000000E+00,1.450717E+00,4.185504E+02,8.567987E+03,1.682210E-02,6.039420E-01,4.484934E+03,8.046585E+03,1.802556E-01,5.671900E-01,2.513904E+03,0.000000E+00,1.010356E-01,0.000000E+00,1.665314E+03,1.017011E+03,6.693009E-02,7.170002E-02,2.541282E+03,1.639237E+03,1.021359E-01,1.155667E-01,1.662125E+03,1.102730E+03,6.680194E-02,7.774311E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.417914E+02,0.000000E+00,4.524341E-02,0.000000E+00,1.051972E+03,0.000000E+00,7.415904E-02,0.000000E+00,7.077675E+02,0.000000E+00,4.989427E-02,1.499515E+03,1.681452E+03,6.026673E-02,1.185401E-01,1.024966E+03,1.102557E+03,4.119418E-02,7.772921E-02,1.534970E+03,1.690685E+03,6.169169E-02,1.191911E-01,1.023673E+03,1.192641E+03,4.114222E-02,8.407982E-02 
04:00:00,0.000000E+00,2.068766E+04,0.000000E+00,1.458223E+00,4.190343E+02,8.674336E+03,1.684155E-02,6.114374E-01,4.485597E+03,8.150875E+03,1.802823E-01,5.745404E-01,2.514049E+03,0.000000E+00,1.010414E-01,0.000000E+00,1.665405E+03,1.023436E+03,6.693374E-02,7.215306E-02,2.541423E+03,1.648535E+03,1.021416E-01,1.162223E-01,1.662216E+03,1.105286E+03,6.680558E-02,7.792337E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.461790E+02,0.000000E+00,4.555277E-02,0.000000E+00,1.058143E+03,0.000000E+00,7.459413E-02,0.000000E+00,7.091952E+02,0.000000E+00,4.999498E-02,1.499643E+03,1.692629E+03,6.027187E-02,1.193281E-01,1.025047E+03,1.108752E+03,4.119745E-02,7.816604E-02,1.535097E+03,1.702498E+03,6.169680E-02,1.200240E-01,1.023754E+03,1.194704E+03,4.114547E-02,8.422529E-02 
04:15:00,0.000000E+00,2.079085E+04,0.000000E+00,1.465496E+00,4.195115E+02,8.778486E+03,1.686073E-02,6.187780E-01,4.486243E+03,8.251644E+03,1.803083E-01,5.816426E-01,2.514189E+03,0.000000E+00,1.010470E-01,0.000000E+00,1.665493E+03,1.029507E+03,6.693729E-02,7.258113E-02,2.541560E+03,1.657343E+03,1.021471E-01,1.168434E-01,1.662304E+03,1.107647E+03,6.680912E-02,7.808987E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.503438E+02,0.000000E+00,4.584643E-02,0.000000E+00,1.064099E+03,0.000000E+00,7.501407E-02,0.000000E+00,7.104993E+02,0.000000E+00,5.008697E-02,1.499769E+03,1.703573E+03,6.027694E-02,1.200998E-01,1.025127E+03,1.114793E+03,4.120066E-02,7.859197E-02,1.535222E+03,1.714033E+03,6.170184E-02,1.208373E-01,1.023833E+03,1.196799E+03,4.114867E-02,8.437308E-02 
